Script_Ethical_Score,Script_educational_Score,Script_Islamic_Score,Script_social_Score,Script_emotional_Score, Action, Adventure, Biography, Comedy, Crime, Drama, Educational, Family, Fantasy, History, Horror, Islamic, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Animation,Average_Age,Cluster,GMM_Cluster
2.031250000000001,3.0833333333333335,1.3052245646196206,3.065148825068345,2.65671480004864,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11.0,2,3
2.031250000000001,3.0,3.5050412465627963,3.1091242824520373,2.971493885966741,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0,0,2
3.7500000000000004,3.1666666666666665,2.632447296058661,2.8508439551599145,1.6375471273311866,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,1,3
3.125,3.0,2.404546287809347,2.991147162561293,0.445741213822408,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1,3
0.0,0.0,2.404546287809347,3.034901489272965,1.8892504171866824,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,11.0,4,2
3.125,3.666666666666667,2.404546287809347,2.0656755136633715,3.225687450796617,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,0,2
2.34375,2.5,4.079926672777268,2.914231749320847,1.619016870287045,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1,3
1.4062500000000004,2.4166666666666665,2.404546287809347,5.0,1.2673538607344794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,4,3
1.8750000000000002,2.5833333333333335,2.404546287809347,0.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,0,0
2.031250000000001,3.0,2.404546287809347,1.2923943612717443,2.333614565913593,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,3,3
1.8750000000000002,3.0,2.404546287809347,3.979405350532737,0.7507633901151318,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,4,3
1.5625,2.6666666666666665,2.404546287809347,1.540180237228821,0.7724535931556606,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0,3,3
3.593750000000001,3.0,2.404546287809347,3.3599254539288133,1.4429074289385826,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13.0,1,3
5.0,5.0,2.404546287809347,1.4651889020238782,2.9263360772963005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,0,3
3.125,3.9166666666666665,2.404546287809347,1.4651889020238782,2.9263360772963005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11.0,0,3
4.531250000000001,2.25,2.404546287809347,1.8696617201472907,1.9436750343034,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10.0,1,3
